Unnamed: 0,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
339,2018-12-05,1℃,-4℃,阴~多云,东南风,1级,73,良,2
340,2018-12-06,-2℃,-9℃,晴,西北风,3级,40,优,1
341,2018-12-07,-4℃,-10℃,晴,西北风,3级,33,优,1
342,2018-12-08,-2℃,-10℃,晴~多云,西北风,2级,37,优,1
343,2018-12-09,-1℃,-10℃,多云~晴,东南风,1级,62,良,2
344,2018-12-10,1℃,-6℃,多云,东北风,1级,79,良,2
345,2018-12-11,-1℃,-10℃,晴,西北风,3级,56,良,2
346,2018-12-12,1℃,-8℃,晴,西南风,1级,50,优,1
347,2018-12-13,3℃,-7℃,晴,西北风,2级,42,优,1
348,2018-12-14,4℃,-6℃,晴,东南风,1级,68,良,2
349,2018-12-15,2℃,-6℃,霾,东南风,1级,117,轻度污染,3
350,2018-12-16,7℃,-4℃,晴,西北风,2级,108,轻度污染,3
351,2018-12-17,7℃,-5℃,晴,西北风,2级,47,优,1
352,2018-12-18,9℃,-4℃,晴,西北风,2级,53,良,2
353,2018-12-19,9℃,-5℃,晴~多云,西北风,1级,59,良,2
354,2018-12-20,6℃,-4℃,霾,东南风,1级,78,良,2
355,2018-12-21,10℃,-2℃,晴~多云,西北风,1级,98,良,2
356,2018-12-22,8℃,-6℃,多云,西北风,2级,106,轻度污染,3
357,2018-12-23,1℃,-9℃,晴,西北风,3级,106,轻度污染,3
358,2018-12-24,2℃,-8℃,晴,西南风,1级,106,轻度污染,3
359,2018-12-25,2℃,-9℃,晴,东北风,2级,94,良,2
360,2018-12-26,-2℃,-11℃,晴~多云,东北风,2级,26,优,1
361,2018-12-27,-5℃,-12℃,多云~晴,西北风,3级,48,优,1
362,2018-12-28,-3℃,-11℃,晴,西北风,3级,40,优,1
363,2018-12-29,-3℃,-12℃,晴,西北风,2级,29,优,1
364,2018-12-30,-2℃,-11℃,晴~多云,东北风,1级,31,优,1
365,2018-12-31,-2℃,-10℃,多云,东北风,1级,56,良,2
